title,集音生成 | Track Conductor,
head.top,レール演奏補助ツール,
text.h1Desc,現在改装中です。,
head.collectingGenerator,集音生成,
text.collectingGeneratorDesc,"羽あり/なし, 地上/水中の集音を作成します。",
label.selectType,集音タイプ:,
option.wing-ground,"羽あり, 地上",
option.noWing-ground,"羽なし, 地上",
option.wing-water,"羽あり, 水中",
option.noWing-water,"羽なし, 水中",
label.inputSmf,MIDIファイル:,
label.selectTrack,トラック:,
buttonLoadSmf,読み込み,
label.inputTickUnit,4分音価:,
label.inputBeatValue,4分符長[f]:,
label.spanBpm,BPM:,
label.selectBaseKey,基準音:,
button.play,演奏,
label.selectInstrument,音色:,
option.sine,正弦波,
option.triangle,三角波,
option.square,矩形波,
option.sawtooth,ノコギリ波,
button.stopPlay,演奏停止,
cell.index,番号,
cell.memo,メモ,
option.tickUnit,音価,音の長さ。4分符2つ分の長さなら、(4分音価) * 2 となる。
option.nthNote,n分符,"(2)=2分音符, (8.)=付点8分音符, (4..+8-16)=複付点4分音符+8分音符-16分音符=2分音符"
cell.noteValue,符長[f],音の長さ。
cell.notePitch,音高[b],基準音からの音程の差(半音単位)。
button.calcTable0,ここまで計算,
label.selectLoading,読み込みタイプ:,
option.instantLoad,開始画面(全て同時),
option.freeFall,自由落下,
option.verticalScroll,縦スクロール,
option.horizontalScroll,横スクロール,
option.custom,カスタム,
option.slownessAve,平均遅度,
option.slownessCycle,遅度循環,
label.inputScrollSlownessAve,平均スクロール遅度[f/b]:,
label.inputScrollSlownessCycle,スクロール遅度循環[f/b]:,
label.selectLanding,着線パターン:,
cell.time,時刻[f],基準音が鳴ってからその音が鳴るまでの時間。
cell.interColumnDelay,列間遅延[f],前列と比べたときの、音符ブロックが移動する分の遅延。
cell.scrollDelay,横ス遅延[f],前列と比べたときの、スクロールでの遅延。
cell.yDifference,y差[b],基準列の音符ブロックとの高さの差。
label.inputBaseDelay,基準遅延[f]:,
label.inputBaseHeight,基準高さ[b]:,
buttonSortWirings,集音する,
cell.delay,遅延[f],その列に与える遅延。
cell.height,高さ[b],集音レールとの距離。
cell.isWirable,配置可,"◎: ±0, ○: ±1, △: ±2, ×: それ超過。"
cell.show,表示,セルを押すと下側に表示。
button.changeOverview,全体像を表示/非表示,
head.wiringGenerator,縦断線式集音配線生成,
text.wiringGeneratorDesc,縦レールによる集音(ぜんまいメソッド)の配置を探します。,
label.inputWiringDelay,遅延[f]:,
label.inputWiringHeight,高さ[b]:,
label.selectWiringType,タイプ:,
label.selectWiringLanding,着線時の形状:,
button.findWiring,探す,
option.up-asc,"↑長さ, 短い順",
option.up-des,"↑長さ, 長い順",
option.down-asc,"↓長さ, 短い順",
option.down-des,"↓長さ, 長い順",
label.checkWiringView,実行時に画像表示,
label.wiringResultsMatch,一致:,
label.wiringResultsNear,誤差:,
label.wiringResultsFar,もっと誤差:,
head.images,画像,
